id,title,status,action,time_min,context,cost,priority,blocked_by,decision_needed,doc_link,requires_car_down,requires_parts,notes
KEY-019,Define ignition-state sensing interface,ready,research,45,desk,0,medium,,,CELIKEY_PCB_CONCEPT.md#14-preliminary-io-budget,false,false,Provide a safe vehicle-state input for mirror inhibit and future start logic
KEY-020,Define reserved future keyless-start I/O and power interface,backlog,research,45,desk,0,low,KEY-019,,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Reserve expansion capacity only; do not implement start control in current functional milestone
KEY-021,Establish acceptable passive-entry reacquisition target,blocked,research,30,desk,0,high,KEY-002,DEC-KEY-003,PROJECT_CHECKLIST.md#1-core-uwb--iphone-proof-of-concept,false,false,Set a quantitative target based on observed recovery behavior and acceptable walk-up user experience
KEY-022,Add manual LOCK and UNLOCK controls to CeliKey app,blocked,code,45,computer,0,medium,KEY-003,,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Implement UI/control requests independently of final vehicle-output binding
KEY-023,Add Passive Entry ON and PAUSED control,blocked,code,45,computer,0,medium,KEY-003,,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Expose explicit passive-entry enabled/paused state
KEY-024,Implement temporary and indefinite passive-entry pause behavior,blocked,code,60,computer,0,medium,KEY-023,,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Support wash/service use without repeated lock/mirror cycling
KEY-025,Define credential enrollment and pairing workflow,ready,research,45,desk,0,high,,DEC-KEY-004,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Define first-run enrollment re-pairing credential replacement and recovery behavior
KEY-026,Define and implement secure phone authentication path,blocked,research,60,computer,0,critical,KEY-025,DEC-KEY-005,PROJECT_CHECKLIST.md#2-ios--celikey-app,false,false,Authentication must be distinct from proximity/RSSI; document threat model and selected mechanism before implementation
KEY-027,FNIRSI 2D15P scope/multimeter delivered and available,done,buy,15,phone,,high,,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,false,Delivered and physically available as of 2026-08-26; no longer a blocker for RDA electrical characterization
KEY-028,Locate and positively identify installed receiver RDA wire,ready,measure,30,car,0,critical,,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,false,Verify actual retrofitted vehicle wiring rather than relying only on generic diagrams
KEY-029,Build protected high-impedance RDA capture interface,blocked,fabricate,60,bench,20,critical,KEY-004,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Choose divider/buffer/comparator/opto approach only after measured line voltage/topology are known
KEY-030,Capture staged or second-UNLOCK RDA behavior,blocked,vehicle-test,30,car,0,high,KEY-029,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Determine whether second unlock is a distinct frame or Body ECU timing/state behavior
KEY-031,Capture PANIC or other useful remote RDA commands,blocked,vehicle-test,30,car,0,low,KEY-029,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Optional characterization if supported by installed remote/receiver
KEY-032,Analyze RDA frame repeatability and static/dynamic fields,blocked,research,45,computer,0,critical,KEY-005;KEY-006;KEY-030,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,false,Compare captures for counters checksums state-dependent changes and repeatability
KEY-033,Determine whether PRG participates in normal receiver operation,blocked,vehicle-test,30,car,0,medium,KEY-029,,PROJECT_CHECKLIST.md#3-vehicle-rda-characterization,false,true,Passively observe PRG during normal remote commands; do not assume EWD directionality
KEY-034,Design and build temporary RDA isolation/replay fixture,blocked,fabricate,60,bench,25,critical,KEY-007,,PROJECT_CHECKLIST.md#4-rda-replay--lock-integration,false,true,Fixture must safely select/isolate OEM receiver and replay source without output contention
KEY-035,Verify synthetic RDA replay preserves Body ECU acknowledgement behavior,blocked,vehicle-test,45,car,0,critical,KEY-008;KEY-009,,PROJECT_CHECKLIST.md#4-rda-replay--lock-integration,false,true,Verify doors chirp light flash staged unlock and expected Body ECU state behavior
KEY-036,Verify OEM receiver operation after restoring replay fixture,blocked,vehicle-test,20,car,0,critical,KEY-035,,PROJECT_CHECKLIST.md#4-rda-replay--lock-integration,false,true,Factory remote path must remain functional and unchanged after restoration
KEY-037,Select final RDA coexistence topology,blocked,research,45,desk,0,critical,KEY-035;KEY-036,DEC-KEY-006,PROJECT_CHECKLIST.md#4-rda-replay--lock-integration,false,false,Choose switched source compatible parallel injection or temporary isolation based on measured behavior
KEY-038,Evaluate Body ECU lock-switch input emulation fallback if RDA is rejected,backlog,research,60,desk,0,medium,KEY-037,DEC-KEY-007,CELIKEY_PCB_CONCEPT.md#11-fallback-lockunlock-path,false,false,Activate only if DEC-KEY-006 rejects RDA as the final interface
KEY-039,Determine OEM/JDM mirror-switch coexistence requirements,blocked,bench-test,30,bench,0,medium,KEY-013,,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,true,Determine whether CeliKey can parallel existing control or requires isolation/source selection
KEY-040,Define mirror command timeout and fault behavior,blocked,research,30,desk,0,medium,KEY-013,,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,false,Prevent sustained drive conflicting commands and unsafe reset behavior
KEY-041,Define ignition-inhibit behavior for automatic mirror commands,blocked,research,30,desk,0,high,KEY-019,,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,false,Valid lock/unlock may command mirrors only under allowed ignition/state conditions
KEY-042,Integrate mirror fold with valid lock event,blocked,code,45,computer,0,medium,KEY-014;KEY-040;KEY-041;KEY-008,,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,false,Command fold from an accepted lock event while honoring inhibit/pause/fault rules
KEY-043,Integrate mirror unfold with valid unlock event,blocked,code,45,computer,0,medium,KEY-014;KEY-040;KEY-041;KEY-009,,PROJECT_CHECKLIST.md#5-power-folding-mirrors,false,false,Command unfold from an accepted unlock event while honoring inhibit/pause/fault rules
KEY-044,Define satellite UWB node locations if single-node testing shows a need,blocked,measure,45,car,0,low,KEY-010,DEC-KEY-008,PROJECT_CHECKLIST.md#6-vehicle-rf--placement-testing,false,false,Conditional task; only select satellite locations if one-node coverage/discrimination is inadequate
KEY-045,Finalize practical approach/departure thresholds and hysteresis,blocked,research,45,desk,0,high,KEY-002;KEY-010;KEY-021,DEC-KEY-009,PROJECT_CHECKLIST.md#6-vehicle-rf--placement-testing,false,false,Set vehicle-use thresholds using actual coverage and reacquisition data rather than dev-board defaults
KEY-046,Identify and verify suitable true-ground point for overhead installation,ready,measure,30,car,0,high,,,PROJECT_CHECKLIST.md#7-power--harness-definition,false,false,Courtesy-switched returns are not generic ground; verify voltage/continuity on actual vehicle
KEY-047,Verify occupied M3 cavities and wire colors on actual car,ready,measure,30,car,0,high,,,PROJECT_CHECKLIST.md#7-power--harness-definition,false,false,Confirm actual vehicle against EWD before releasing harness design
KEY-048,Verify selected 20 AWG wire insulation OD and terminal crimp compatibility,blocked,bench-test,30,bench,0,medium,KEY-015,,PROJECT_CHECKLIST.md#7-power--harness-definition,false,true,Crimp representative samples and inspect conductor/insulation support before harness fabrication
KEY-049,Select low-quiescent 12 V to 3.3 V regulator architecture,blocked,research,60,desk,0,high,KEY-012;KEY-018,DEC-KEY-010,PROJECT_CHECKLIST.md#7-power--harness-definition,false,false,Select regulator based on parked-current budget automotive transients efficiency and thermal needs
KEY-050,Define final reversible PCB-integrated M3 pass-through harness architecture,blocked,cad,60,cad,0,medium,KEY-017;KEY-018;KEY-049,DEC-KEY-011,PROJECT_CHECKLIST.md#7-power--harness-definition,false,false,Finalize passive straight-through routing protected B+ branch mechanical retention and serviceability
KEY-051,Select NFC reader/controller,ready,research,45,desk,0,medium,,DEC-KEY-012,PROJECT_CHECKLIST.md#8-nfc-backup,false,false,Select automotive-feasible reader/controller compatible with intended secure credential and host interface
KEY-052,Select secure NFC card credential,ready,research,45,desk,0,medium,,DEC-KEY-013,PROJECT_CHECKLIST.md#8-nfc-backup,false,false,Credential must support real authentication rather than UID-only authorization
KEY-053,Check driver A-pillar/windshield NFC mounting feasibility,ready,measure,30,car,0,medium,,,PROJECT_CHECKLIST.md#8-nfc-backup,false,false,Check tap accessibility antenna placement harness routing trim clearance and glass/metal effects
KEY-054,Define NFC daughterboard electrical/mechanical interface,blocked,cad,60,cad,0,medium,KEY-051;KEY-053,,PROJECT_CHECKLIST.md#8-nfc-backup,false,false,Define power bus connector pinout antenna/daughterboard packaging and service path
KEY-055,Bench-test NFC card authentication,blocked,bench-test,60,bench,,high,KEY-051;KEY-052;KEY-054,,PROJECT_CHECKLIST.md#8-nfc-backup,false,true,Demonstrate secure card authentication before integrating into access logic
KEY-056,Integrate NFC authorization into CeliKey access state machine,blocked,code,60,computer,0,medium,KEY-055;KEY-026,,PROJECT_CHECKLIST.md#8-nfc-backup,false,false,NFC should provide independent backup authorization but share policy/state logic safely
KEY-057,Freeze minimum Rev A functional and interface requirements,blocked,document,60,computer,0,critical,KEY-037;KEY-014;KEY-045;KEY-049;KEY-054;KEY-026,DEC-KEY-014,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Freeze enough requirements to size MCU and schematic while explicitly deferring nonessential future-start implementation
KEY-058,Finalize main MCU selection,blocked,research,60,desk,0,high,KEY-057,DEC-KEY-015,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Size GPIO timing buses memory debug power and future reserved I/O from frozen Rev A requirements
KEY-059,Finalize DWM3001C PCB placement and antenna clearance,blocked,cad,45,cad,0,high,KEY-010;KEY-057,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Apply module vendor antenna keepout/edge requirements and actual behind-mirror packaging constraints
KEY-060,Design Rev A automotive power front end,blocked,cad,60,cad,0,high,KEY-018;KEY-049;KEY-057,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Implement protected overhead B+ input regulation grounding decoupling and safe power sequencing
KEY-061,Design Rev A RDA sense/drive/isolation circuitry,blocked,cad,60,cad,0,critical,KEY-037;KEY-057,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Implement final measured coexistence topology with protected sense and drive paths
KEY-062,Design Rev A mirror-control interface,blocked,cad,60,cad,0,high,KEY-014;KEY-040;KEY-041;KEY-057,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Include current capability inductive protection safe reset state and required coexistence/isolation
KEY-063,Add NFC daughterboard connector to Rev A,blocked,cad,30,cad,0,medium,KEY-054;KEY-057,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Carry selected power and communication interface with sensible ESD/service provisions
KEY-064,Add two optional satellite-UWB expansion ports to Rev A,blocked,cad,45,cad,0,low,KEY-057;KEY-058,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Reserve hardware expansion without freezing multi-node protocol unless testing requires it
KEY-065,Define and add Rev A vehicle I/O connector,blocked,cad,45,cad,0,high,KEY-019;KEY-057;KEY-058,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Include required vehicle-state and control interfaces with spare/reserved capacity
KEY-066,Add diagnostic PWR PHONE UWB and ACCESS LEDs,blocked,cad,30,cad,0,low,KEY-057;KEY-058,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Support DEBUG NORMAL and DARK firmware modes
KEY-067,Add service/pairing button to Rev A,blocked,cad,20,cad,0,low,KEY-057;KEY-058,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Provide accessible but protected service/pairing input
KEY-068,Add programming/debug pads or connector to Rev A,blocked,cad,30,cad,0,medium,KEY-058,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Preserve practical programming logging recovery and bring-up access
KEY-069,Reserve future keyless-start I/O and power capacity on Rev A,backlog,cad,30,cad,0,low,KEY-020;KEY-057;KEY-058,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Reserve capacity only; current Rev A must not imply start-control implementation is complete
KEY-070,Perform complete Rev A schematic review,blocked,verify,60,computer,0,critical,KEY-059;KEY-060;KEY-061;KEY-062;KEY-063;KEY-064;KEY-065;KEY-066;KEY-067;KEY-068;KEY-069,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Review power RF grounding vehicle protection safe states connector pinouts testability and expansion
KEY-071,Layout Rev A PCB,blocked,cad,120,cad,0,high,KEY-070,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Place/rout with RF antenna clearance automotive power/current paths and service access as first-class constraints
KEY-072,Review Rev A RF keepout antenna placement and final layout,blocked,verify,45,cad,0,critical,KEY-071,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,false,Independent final check of module keepout grounding edge placement and nearby conductors/enclosure effects
KEY-073,Order Rev A boards and required assembly parts,blocked,buy,30,phone,,high,KEY-072,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,true,Order only after schematic/layout reviews and generate retained fabrication outputs/BOM
KEY-074,Assemble and bench-test Rev A hardware,blocked,bench-test,120,bench,,critical,KEY-073,,PROJECT_CHECKLIST.md#9-rev-a-pcb,false,true,Power-up safely; verify rails programming radio interfaces I/O safe states diagnostics and representative loads before vehicle install
KEY-075,Implement WOULD UNLOCK shadow-mode behavior,blocked,code,60,computer,0,high,KEY-003;KEY-045;KEY-026,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,false,Exercise real credential/proximity policy without commanding locks
KEY-076,Install Rev A using reversible vehicle harnessing,blocked,install,120,car,0,critical,KEY-050;KEY-074,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Install without permanent factory-wire cuts and retain OEM fallback paths
KEY-077,Validate passive approach detection in real parking scenarios,blocked,vehicle-test,60,car,0,critical,KEY-075;KEY-076,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Use shadow mode first across realistic parking/approach conditions and phone placements
KEY-078,Validate departure rearm and non-cycling behavior,blocked,vehicle-test,60,car,0,critical,KEY-077,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Verify hysteresis/rearm prevents repeated lock/unlock or mirror cycling while lingering near car
KEY-079,Enable real lock/unlock output after shadow-mode validation,blocked,install,30,car,0,critical,KEY-035;KEY-036;KEY-077;KEY-078,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Only connect active lock/unlock command path after shadow-mode confidence and RDA acceptance
KEY-080,Validate OEM remote fallback with integrated Rev A,blocked,vehicle-test,20,car,0,critical,KEY-079,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Factory remote must retain expected operation
KEY-081,Validate mechanical-key fallback,blocked,vehicle-test,15,car,0,high,KEY-076,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,false,Confirm CeliKey installation does not compromise mechanical entry fallback
KEY-082,Validate ignition-on inhibits unwanted automatic actions,blocked,vehicle-test,30,car,0,critical,KEY-041;KEY-076;KEY-079,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Verify locks/mirrors do not automatically actuate in prohibited ignition states
KEY-083,Validate wash/service pause behavior,blocked,vehicle-test,30,car,0,high,KEY-024;KEY-076,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Pause must suppress passive cycling while preserving intentional manual behavior as designed
KEY-084,Validate integrated power-folding mirror behavior,blocked,vehicle-test,45,car,0,high,KEY-042;KEY-043;KEY-076;KEY-079,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Verify fold/unfold timing inhibit timeout pause behavior and OEM/JDM switch coexistence
KEY-085,Measure integrated parked current over meaningful duration,blocked,measure,120,car,0,critical,KEY-076,,PROJECT_CHECKLIST.md#10-vehicle-integration,false,true,Measure sleep/wake duty cycle and long-duration average against defined current budget
KEY-086,Define future start-button behavior,backlog,research,45,desk,0,low,KEY-020,DEC-KEY-016,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Future milestone; define presses state transitions cancellation and abnormal cases
KEY-087,Map accessory ignition and starter circuits,backlog,measure,60,car,0,low,KEY-020,,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Future milestone; verify actual 2000 GT-S circuits and current requirements before any interface design
KEY-088,Define clutch-interlock integration,backlog,research,45,desk,0,low,KEY-087,DEC-KEY-017,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Future safety input; preserve OEM intent and fail-safe behavior
KEY-089,Define engine-running detection strategy,backlog,research,45,desk,0,low,KEY-087,DEC-KEY-018,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Future milestone; determine robust crank-release/running feedback
KEY-090,Define immobilizer integration architecture,backlog,research,60,desk,0,low,KEY-020,DEC-KEY-019,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Future milestone; retain secure fallback and avoid weakening factory immobilizer without explicit design rationale
KEY-091,Define emergency and manual start fallback,backlog,research,45,desk,0,low,KEY-086;KEY-090,DEC-KEY-020,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Future milestone; vehicle must remain recoverable when phone/CeliKey electronics are unavailable
KEY-092,Define credential-loss-while-driving safety rule,backlog,document,30,desk,0,low,KEY-086,DEC-KEY-021,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Credential loss while driving must never command engine shutdown
KEY-093,Design future start authorization as separate safety-critical state machine,backlog,code,120,computer,0,low,KEY-086;KEY-088;KEY-089;KEY-090;KEY-091;KEY-092,,PROJECT_CHECKLIST.md#11-future-keyless--push-button-start,false,false,Separate access authorization from crank/run authorization; implement only in future start milestone
